Mod:Item:MetaData, Localized Name
mysticaladaptations:insanium_arrow, §5Insanium Arrow
mysticaladaptations:insanium_paxel, §5Insanium Paxel
mysticaladaptations:watering_can_insanium, §5Insanium Watering Can
notenoughwands:wandcore, Wand Core
notenoughwands:advanced_wandcore, Advanced Wand Core
notenoughwands:teleportation_wand, Teleportation Wand
notenoughwands:building_wand, Building Wand
notenoughwands:swapping_wand, Swapping Wand
notenoughwands:capturing_wand, Capturing Wand
notenoughwands:illumination_wand, Illumination Wand
notenoughwands:displacement_wand, Displacement Wand
notenoughwands:moving_wand, Moving Wand
notenoughwands:acceleration_wand, Acceleration Wand
notenoughwands:protection_wand, Protection Wand
notenoughwands:master_protection_wand, Master Protection Wand
notenoughwands:freezing_wand, Freezing Wand (WIP)
notenoughwands:potion_wand, Potion Wand
xnet:xnet_manual, XNet Manual
xnet:connector_upgrade, Connector Upgrade Kit
xnet:facade, Facade
xnet:redstone_proxy, Redstone Proxy
xnet:redstone_proxy_upd, Redstone Proxy (update)
xnet:netcable:0, Blue Network Cable
xnet:netcable:1, Red Network Cable
xnet:netcable:2, Yellow Network Cable
xnet:netcable:3, Green Network Cable
xnet:netcable:4, Routing Network Cable
xnet:connector:0, Blue Connector
xnet:connector:1, Red Connector
xnet:connector:2, Yellow Connector
xnet:connector:3, Green Connector
xnet:connector:4, Routing Connector
xnet:advanced_connector:0, Advanced Blue Connector
xnet:advanced_connector:1, Advanced Red Connector
xnet:advanced_connector:2, Advanced Yellow Connector
xnet:advanced_connector:3, Advanced Green Connector
xnet:controller, Controller
xnet:router, Router
xnet:wireless_router, Wireless Router
xnet:antenna, Antenna
xnet:antenna_base, Antenna Base
xnet:antenna_dish, Antenna Dish
ogdragon:dragon_egg, Dragon Egg
planetprogression:telescope, Telescope
planetprogression:telescope_fake_block, tile.telescope_fake_block.name
planetprogression:satellite_builder, Satellite Builder
planetprogression:satellite_controller, Satellite Controller
planetprogression:satellite_launcher, Satellite Rocket Launch Module
planetprogression:advanced_launch_pad:0, Satellite Rocket Launch Pad
planetprogression:advanced_launch_pad_full, Tier 2/3 Launch Pad
planetprogression:block_multi:0, tile.block_multi.null.name
planetprogression:item_satellite_rocket:1, Satellite Rocket
planetprogression:dish_keycard, Communication Dish Keycard
planetprogression:satellite_module_basic, Basic Satellite Module
planetprogression:satellite_basic, Basic Satellite
planetprogression:research_paper_0, item.research_paper_0.name
planetprogression:research_paper_1, item.research_paper_1.name
planetprogression:research_paper_2, item.research_paper_2.name
planetprogression:research_paper_3, item.research_paper_3.name
planetprogression:research_paper_4, item.research_paper_4.name
planetprogression:research_paper_5, item.research_paper_5.name
planetprogression:research_paper_6, item.research_paper_6.name
planetprogression:research_paper_7, item.research_paper_7.name
planetprogression:research_paper_8, item.research_paper_8.name
planetprogression:research_paper_9, item.research_paper_9.name
planetprogression:research_paper_10, item.research_paper_10.name
planetprogression:research_paper_11, item.research_paper_11.name
planetprogression:research_paper_12, item.research_paper_12.name
planetprogression:research_paper_13, item.research_paper_13.name
planetprogression:research_paper_14, item.research_paper_14.name
planetprogression:research_paper_15, item.research_paper_15.name
planetprogression:research_paper_16, item.research_paper_16.name
planetprogression:research_paper_17, item.research_paper_17.name
planetprogression:research_paper_18, item.research_paper_18.name
planetprogression:research_paper_19, item.research_paper_19.name
planetprogression:research_paper_20, item.research_paper_20.name
planetprogression:research_paper_21, item.research_paper_21.name
planetprogression:research_paper_22, item.research_paper_22.name
planetprogression:research_paper_23, item.research_paper_23.name
planetprogression:research_paper_24, item.research_paper_24.name
planetprogression:research_paper_25, item.research_paper_25.name
planetprogression:research_paper_26, item.research_paper_26.name
planetprogression:research_paper_27, item.research_paper_27.name
planetprogression:research_paper_28, item.research_paper_28.name
planetprogression:research_paper_29, item.research_paper_29.name
planetprogression:research_paper_30, item.research_paper_30.name
planetprogression:research_paper_31, item.research_paper_31.name
planetprogression:research_paper_32, item.research_paper_32.name
planetprogression:research_paper_33, item.research_paper_33.name
planetprogression:research_paper_34, item.research_paper_34.name
planetprogression:research_paper_35, item.research_paper_35.name
planetprogression:research_paper_36, item.research_paper_36.name
planetprogression:research_paper_37, item.research_paper_37.name
planetprogression:research_paper_38, item.research_paper_38.name
planetprogression:research_paper_39, item.research_paper_39.name
planetprogression:research_paper_40, item.research_paper_40.name
planetprogression:research_paper_41, item.research_paper_41.name
planetprogression:research_paper_42, item.research_paper_42.name
planetprogression:research_paper_43, item.research_paper_43.name
planetprogression:research_paper_44, item.research_paper_44.name
planetprogression:research_paper_45, item.research_paper_45.name
planetprogression:research_paper_46, item.research_paper_46.name
planetprogression:research_paper_47, item.research_paper_47.name
planetprogression:research_paper_48, item.research_paper_48.name
planetprogression:research_paper_49, item.research_paper_49.name
planetprogression:research_paper_50, item.research_paper_50.name
planetprogression:research_paper_51, item.research_paper_51.name
planetprogression:research_paper_52, item.research_paper_52.name
planetprogression:research_paper_53, item.research_paper_53.name
planetprogression:research_paper_54, item.research_paper_54.name
planetprogression:research_paper_55, item.research_paper_55.name
planetprogression:research_paper_56, item.research_paper_56.name
planetprogression:research_paper_57, item.research_paper_57.name
planetprogression:research_paper_58, item.research_paper_58.name
planetprogression:research_paper_59, item.research_paper_59.name
planetprogression:research_paper_60, item.research_paper_60.name
plethora:neuralinterface, Neural interface
plethora:neuralconnector, Neural connector
plethora:module:0, Introspection module
plethora:module:1, Frickin' laser beam
plethora:module:2, Block scanner
plethora:module:3, Entity sensor
plethora:module:4, Kinetic augment
plethora:module:5, Chat recorder
plethora:module:6, Overlay glasses
plethora:module:7, Creative chat recorder
plethora:keyboard, Keyboard
plethora:manipulator:0, Manipulator Mk I
plethora:manipulator:1, Manipulator Mk II
plethora:redstone_integrator:0, Redstone integrator
pneumaticcraft:gps_tool, GPS Tool
pneumaticcraft:gps_area_tool, GPS Area Tool
pneumaticcraft:ingot_iron_compressed, Compressed Iron Ingot
pneumaticcraft:pressure_gauge, Pressure Gauge
pneumaticcraft:stone_base, Stone Base
pneumaticcraft:cannon_barrel, Cannon Barrel
pneumaticcraft:turbine_blade, Turbine Blade
pneumaticcraft:plastic:0, Black Plastic
pneumaticcraft:plastic:1, Red Plastic
pneumaticcraft:plastic:2, Green Plastic
pneumaticcraft:plastic:3, Brown Plastic
pneumaticcraft:plastic:4, Blue Plastic
pneumaticcraft:plastic:5, Purple Plastic
pneumaticcraft:plastic:6, Cyan Plastic
pneumaticcraft:plastic:7, Light Gray Plastic
pneumaticcraft:plastic:8, Gray Plastic
pneumaticcraft:plastic:9, Pink Plastic
pneumaticcraft:plastic:10, Lime Plastic
pneumaticcraft:plastic:11, Yellow Plastic
pneumaticcraft:plastic:12, Light Blue Plastic
pneumaticcraft:plastic:13, Magenta Plastic
pneumaticcraft:plastic:14, Orange Plastic
pneumaticcraft:plastic:15, White Plastic
pneumaticcraft:air_canister, Air Canister
pneumaticcraft:reinforced_air_canister, Reinforced Air Canister
pneumaticcraft:vortex_cannon, Vortex Cannon
pneumaticcraft:pneumatic_cylinder, Pneumatic Cylinder
pneumaticcraft:pneumatic_helmet, Pneumatic Helmet
pneumaticcraft:pneumatic_chestplate, Pneumatic Chestplate
pneumaticcraft:pneumatic_leggings, Pneumatic Leggings
pneumaticcraft:pneumatic_boots, Pneumatic Boots
pneumaticcraft:manometer, Manometer
pneumaticcraft:turbine_rotor, Turbine Rotor
pneumaticcraft:assembly_program:0, Assembly Program: Drill
pneumaticcraft:assembly_program:1, Assembly Program: Laser
pneumaticcraft:assembly_program:2, Assembly Program: Drill & Laser
pneumaticcraft:empty_pcb:0, Empty PCB
pneumaticcraft:empty_pcb:100, Empty PCB
pneumaticcraft:unassembled_pcb, Unassembled PCB
pneumaticcraft:pcb_blueprint, PCB Blueprint
pneumaticcraft:transistor, Transistor
pneumaticcraft:capacitor, Capacitor
pneumaticcraft:printed_circuit_board, Printed Circuit Board
pneumaticcraft:failed_pcb, Failed PCB
pneumaticcraft:network_component:0, Diagnostic Subroutine
pneumaticcraft:network_component:1, Network API
pneumaticcraft:network_component:2, Network Data Storage
pneumaticcraft:network_component:3, Network IO Port
pneumaticcraft:network_component:4, Network Registry
pneumaticcraft:network_component:5, Network Node
pneumaticcraft:stop_worm, STOP! Worm
pneumaticcraft:nuke_virus, Nuke Virus
pneumaticcraft:compressed_iron_gear, Compressed Iron Gear
pneumaticcraft:pneumatic_wrench, Pneumatic Wrench
pneumaticcraft:drone, Drone
pneumaticcraft:programming_puzzle:1, Red Programming Puzzle
pneumaticcraft:programming_puzzle:2, Green Programming Puzzle
pneumaticcraft:programming_puzzle:3, Brown Programming Puzzle
pneumaticcraft:programming_puzzle:4, Blue Programming Puzzle
pneumaticcraft:programming_puzzle:5, Purple Programming Puzzle
pneumaticcraft:programming_puzzle:6, Cyan Programming Puzzle
pneumaticcraft:programming_puzzle:8, Gray Programming Puzzle
pneumaticcraft:programming_puzzle:9, Pink Programming Puzzle
pneumaticcraft:programming_puzzle:10, Lime Programming Puzzle
pneumaticcraft:programming_puzzle:11, Yellow Programming Puzzle
pneumaticcraft:programming_puzzle:12, Light Blue Programming Puzzle
pneumaticcraft:programming_puzzle:14, Orange Programming Puzzle
pneumaticcraft:programming_puzzle:15, White Programming Puzzle
pneumaticcraft:advanced_pcb, Advanced PCB
pneumaticcraft:remote, Remote
pneumaticcraft:seismic_sensor, Seismic Sensor
pneumaticcraft:logistics_configurator, Logistics Configurator
pneumaticcraft:logistic_drone, Logistic Drone
pneumaticcraft:harvesting_drone, Harvesting Drone
pneumaticcraft:gun_ammo, Minigun Ammo
pneumaticcraft:gun_ammo_incendiary, Incendiary Minigun Ammo
pneumaticcraft:gun_ammo_weighted, Weighted Minigun Ammo
pneumaticcraft:gun_ammo_ap, Armor-Piercing Minigun Ammo
pneumaticcraft:gun_ammo_explosive, Explosive Minigun Ammo
pneumaticcraft:gun_ammo_freezing, Freezing Minigun Ammo
pneumaticcraft:amadron_tablet, Amadron Tablet
pneumaticcraft:minigun, Minigun
pneumaticcraft:camo_applicator, Camouflage Applicator
pneumaticcraft:micromissiles, Micromissiles
pneumaticcraft:volume_upgrade, Volume Upgrade
pneumaticcraft:dispenser_upgrade, Dispenser Upgrade
pneumaticcraft:item_life_upgrade, Item Life Upgrade
pneumaticcraft:entity_tracker_upgrade, Entity Tracker Upgrade
pneumaticcraft:block_tracker_upgrade, Block Tracker Upgrade
pneumaticcraft:speed_upgrade, Speed Upgrade
pneumaticcraft:search_upgrade, Item Search Upgrade
pneumaticcraft:coordinate_tracker_upgrade, Coordinate Tracker Upgrade
pneumaticcraft:range_upgrade, Range Upgrade
pneumaticcraft:security_upgrade, Security Upgrade
pneumaticcraft:magnet_upgrade, Magnet Upgrade
pneumaticcraft:thaumcraft_upgrade, Thaumcraft Upgrade
pneumaticcraft:charging_upgrade, Charging Upgrade
pneumaticcraft:armor_upgrade, Armor Upgrade
pneumaticcraft:jet_boots_upgrade, Jet Boots Upgrade
pneumaticcraft:night_vision_upgrade, Night Vision Upgrade
pneumaticcraft:scuba_upgrade, SCUBA Upgrade
pneumaticcraft:creative_upgrade, Creative Supply Upgrade
pneumaticcraft:pressure_tube, Pressure Tube
pneumaticcraft:advanced_pressure_tube, Advanced Pressure Tube
pneumaticcraft:air_compressor, Air Compressor
pneumaticcraft:advanced_air_compressor, Advanced Air Compressor
pneumaticcraft:air_cannon, Air Cannon
pneumaticcraft:pressure_chamber_wall, Pressure Chamber Wall
pneumaticcraft:pressure_chamber_glass, Pressure Chamber Glass
pneumaticcraft:pressure_chamber_valve, Pressure Chamber Valve
pneumaticcraft:charging_station, Charging Station
pneumaticcraft:elevator_base, Elevator Base
pneumaticcraft:elevator_frame, Elevator Frame
pneumaticcraft:pressure_chamber_interface, Pressure Chamber Interface
pneumaticcraft:vacuum_pump, Vacuum Pump
pneumaticcraft:pneumatic_door_base, Pneumatic Door Base
pneumaticcraft:pneumatic_door, Pneumatic Door
pneumaticcraft:assembly_io_unit, Assembly IO Unit
pneumaticcraft:assembly_platform, Assembly Platform
pneumaticcraft:assembly_drill, Assembly Drill
pneumaticcraft:assembly_laser, Assembly Laser
pneumaticcraft:assembly_controller, Assembly Controller
pneumaticcraft:compressed_iron_block, Block of Compressed Iron
pneumaticcraft:uv_light_box, UV Light Box
pneumaticcraft:security_station, Security Station
pneumaticcraft:universal_sensor, Universal Sensor
pneumaticcraft:aerial_interface, Aerial Interface
pneumaticcraft:electrostatic_compressor, Electrostatic Compressor
pneumaticcraft:aphorism_tile, Aphorism Tile
pneumaticcraft:omnidirectional_hopper, Omnidirectional Hopper
pneumaticcraft:liquid_hopper, Liquid Hopper
pneumaticcraft:elevator_caller, Elevator Caller
pneumaticcraft:programmer, Programmer
pneumaticcraft:creative_compressor, Creative Compressor
pneumaticcraft:plastic_mixer, Plastic Mixer
pneumaticcraft:liquid_compressor, Liquid Compressor
pneumaticcraft:advanced_liquid_compressor, Advanced Liquid Compressor
pneumaticcraft:heat_sink, Heat Sink
pneumaticcraft:vortex_tube, Vortex Tube
pneumaticcraft:programmable_controller, Programmable Controller
pneumaticcraft:gas_lift, Gas Lift
pneumaticcraft:refinery, Refinery
pneumaticcraft:thermopneumatic_processing_plant, Thermopneumatic Processing Plant
pneumaticcraft:kerosene_lamp, Kerosene Lamp
pneumaticcraft:sentry_turret, Sentry Turret
pneumaticcraft:flux_compressor, Flux Compressor
pneumaticcraft:pneumatic_dynamo, Pneumatic Dynamo
pneumaticcraft:fake_ice, tile.fake_ice.name
pneumaticcraft:thermal_compressor, Thermal Compressor
pneumaticcraft:drone_interface, Drone Interface
pneumaticcraft:electric_compressor, Electric Compressor
pneumaticcraft:pneumatic_generator, Pneumatic Generator
pneumaticcraft:safety_tube_module, Safety Tube Module
pneumaticcraft:pressure_gauge_module, Pressure Gauge Tube Module
pneumaticcraft:flow_detector_module, Flow Detector Tube Module
pneumaticcraft:air_grate_module, Air Grate Tube Module
pneumaticcraft:regulator_tube_module, Regulator Tube Module
pneumaticcraft:charging_module, Charging Module
pneumaticcraft:logistics_module, Logistics Module
pneumaticcraft:redstone_module, Redstone Screen Module
pneumaticcraft:logistic_frame_active_provider, Logistic Active Provider Frame
pneumaticcraft:logistic_frame_passive_provider, Logistic Passive Provider Frame
pneumaticcraft:logistic_frame_storage, Logistic Storage Frame
pneumaticcraft:logistic_frame_default_storage, Logistic Default Storage Frame
pneumaticcraft:logistic_frame_requester, Logistic Requester Frame
pneumaticcraft:heat_frame, Heat Frame
pneumaticcraft:spawner_agitator, Spawner Agitator
pneumaticcraft:crop_support, Crop Support
pneumaticcraft:transfer_gadget, Transfer Gadget
pneumaticcraft:fluid.etchacid, Etching Acid
pneumaticcraft:fluid.kerosene, Kerosene
pneumaticcraft:fluid.lpg, LPG
pneumaticcraft:fluid.plastic, Plastic
progressivebosses:nether_star_shard, Nether Star Shard
quantumstorage:crate, Crate
quantumstorage:upgrade:0, Render Upgrade
quantumstorage:upgrade:1, Void Upgrade
quantumstorage:upgrade:2, Creative Upgrade
quantumstorage:upgrade:3, Infinite Water Upgrade
quantumstorage:quantum_battery, Quantum Battery
quantumstorage:quantum_bag, item.quantumstorage.quantum_bag.name
quantumstorage:remote, Inventory Remote
realfilingcabinet:emptyfolder:0, Filing Folder (Empty)
realfilingcabinet:emptyfolder:1, Durability Folder (Empty)
realfilingcabinet:emptyfolder:2, Mob Folder (Empty)
realfilingcabinet:emptyfolder:3, Fluid Folder (Empty)
realfilingcabinet:emptyfolder:4, NBT Folder (Empty)
realfilingcabinet:folder:0, Filing Folder
realfilingcabinet:upgrade:0, Creative Upgrade
realfilingcabinet:upgrade:1, Crafting Upgrade
realfilingcabinet:upgrade:2, Ender Upgrade
realfilingcabinet:upgrade:3, OreDict Upgrade
realfilingcabinet:upgrade:4, Mob Upgrade
realfilingcabinet:upgrade:5, Fluid Upgrade
realfilingcabinet:upgrade:6, Life Upgrade
realfilingcabinet:upgrade:7, Smelting Upgrade
realfilingcabinet:magnifyingglass, Magnifying Glass
realfilingcabinet:whiteouttape, White Out Tape
realfilingcabinet:mysteryfolder, Mystery Folder
realfilingcabinet:suitcase, Suitcase
realfilingcabinet:emptydyedfolder:0, Dyed Folder (White)
realfilingcabinet:emptydyedfolder:1, Dyed Folder (Orange)
realfilingcabinet:emptydyedfolder:2, Dyed Folder (Magenta)
realfilingcabinet:emptydyedfolder:3, Dyed Folder (Light Blue)
realfilingcabinet:emptydyedfolder:4, Dyed Folder (Yellow)
realfilingcabinet:emptydyedfolder:5, Dyed Folder (Lime)
realfilingcabinet:emptydyedfolder:6, Dyed Folder (Pink)
realfilingcabinet:emptydyedfolder:7, Dyed Folder (Gray)
realfilingcabinet:emptydyedfolder:8, Dyed Folder (Silver)
realfilingcabinet:emptydyedfolder:9, Dyed Folder (Cyan)
realfilingcabinet:emptydyedfolder:10, Dyed Folder (Purple)
realfilingcabinet:emptydyedfolder:11, Dyed Folder (Blue)
realfilingcabinet:emptydyedfolder:12, Dyed Folder (Brown)
realfilingcabinet:emptydyedfolder:13, Dyed Folder (Green)
realfilingcabinet:emptydyedfolder:14, Dyed Folder (Red)
realfilingcabinet:emptydyedfolder:15, Dyed Folder (Black)
realfilingcabinet:dyedfolder:0, Dyed Folder (White)
realfilingcabinet:autofolder, Auto Item Folder
realfilingcabinet:debugger, Debugging Tool
realfilingcabinet:filter, Filing Cabinet Filter
realfilingcabinet:key:0, Master Key
realfilingcabinet:key:1, Key Copy
realfilingcabinet:modelcabinet, Filing Cabinet
realfilingcabinet:folder_mana, Mana Folder
realfilingcabinet:manacabinet, Mana Cabinet
realfilingcabinet:folder_aspect, Phialing Folder
realfilingcabinet:aspectcabinet, Phialing Cabinet
rftoolscontrol:rftoolscontrol_manual, RFTools Control Manual
rftoolscontrol:program_card, Program Card
rftoolscontrol:cpu_core_500, CPU Core B500
rftoolscontrol:cpu_core_1000, CPU Core S1000
rftoolscontrol:cpu_core_2000, CPU Core EX2000
rftoolscontrol:ram_chip, RAM Chip 8E
rftoolscontrol:network_card, Network Card
rftoolscontrol:advanced_network_card, Advanced Network Card
rftoolscontrol:card_base, Card Base
rftoolscontrol:crafting_card, Crafting Card
rftoolscontrol:token, Token
rftoolscontrol:network_identifier, Network Identifier
rftoolscontrol:graphics_card, Graphics Card
rftoolscontrol:variable_module, Variable Screen Module
rftoolscontrol:interaction_module, Interaction Screen Module
rftoolscontrol:console_module, Console Screen Module
rftoolscontrol:vectorart_module, Vector Art Screen Module
rftoolscontrol:programmer, Programmer
rftoolscontrol:processor, Processor
rftoolscontrol:node, Node
rftoolscontrol:craftingstation, Crafting Station
rftoolscontrol:workbench, Workbench
rftoolscontrol:tank, Multi Tank
rftoolspower:power_core1, Power Core (Low)
rftoolspower:power_core2, Power Core (Medium)
rftoolspower:power_core3, Power Core (High)
rftoolspower:cell1, Powercell (Low)
rftoolspower:cell2, Powercell (Medium)
rftoolspower:cell3, Powercell (High)
rftoolspower:information_screen, Information Screen
rsgauges:bistableswitch2, Industrial Contact Lever
rsgauges:bistableswitch8, Industrial Lever
rsgauges:bistableswitch7, Industrial Rotary Lever
rsgauges:bistableswitch1, Rotary Machine Switch
rsgauges:bistableswitch3, Two-Button Machine Switch
rsgauges:bistableswitch5, ESTOP Button
rsgauges:bistableswitch6, Hopper Blocker
rsgauges:pulseswitch1, Machine Button
rsgauges:pulseswitch2, Fenced Machine Button
rsgauges:pulseswitch6, Industrial Button
rsgauges:pulseswitch5, Industrial Foot Button
rsgauges:pulseswitch3, Industrial Pull Handle Button
rsgauges:dimmerswitch1, Industrial Dimmer
rsgauges:contactmat1, Industrial Door Contact Mat
rsgauges:contactmat2, Industrial Contact Mat
rsgauges:contactmat3, Industrial Shock Sensitive Contact Mat
rsgauges:trapdoorswitch1, Industrial Shock Activated Trapdoor
rsgauges:trapdoorswitch2, Industrial Sensitive Shock Activated Trapdoor
rsgauges:trapdoorswitch3, Industrial Fall-Through Detection Frame
rsgauges:automaticswitch4, Industrial Day Timer Clock
rsgauges:automaticswitch7, Industrial Interval Signal Timer
rsgauges:automaticswitch1, Industrial Infrared Entity Detector
rsgauges:automaticswitch2, Industrial Linear Laser Entity Detector
rsgauges:automaticswitch3, Industrial Local Light Sensor
rsgauges:automaticswitch5, Industrial Rain Sensor
rsgauges:automaticswitch6, Industrial Thunderstorm Detector
rsgauges:observerswitch1, Industrial Block Category Detector
rsgauges:relay_pulseswitchrx1, Industrial Pulse Switch Link Receiver
rsgauges:relay_pulseswitchrx2, Industrial Cased Pulse Switch Link Receiver
rsgauges:relay_bistableswitchrx1, Industrial Switch Link Receiver
rsgauges:relay_bistableswitchrx2, Industrial Cased Switch Link Receiver
rsgauges:relay_pulseswitchtx1, Industrial Switch Link Pulse Sender
rsgauges:relay_bistableswitchtx1, Industrial Switch Link Sender
rsgauges:industrial_knock_switch, Knock Detector Bistable Switch (industrial)
rsgauges:industrial_knock_button, Knock Detector Pulse Switch (industrial)
rsgauges:flatgauge1, Analog Voltmeter Redstone Gauge
rsgauges:flatgauge6, Small Analog Voltmeter Redstone Gauge
rsgauges:flatgauge2, Analog Bar Redstone Gauge
rsgauges:flatgauge3, Small Digital Display Redstone Gauge
rsgauges:flatgauge5, Glass Tube Redstone Gauge
rsgauges:indicator4, Alarm Lamp
rsgauges:soundindicator1, Alarm Siren
rsgauges:indicator1, Green LED Redstone Indicator
rsgauges:indicator1blink1, Green Blinking LED Redstone Indicator
rsgauges:indicator2, Yellow LED Redstone Indicator
rsgauges:indicator2blink1, Yellow Blinking LED Redstone Indicator
rsgauges:indicator3, Red LED Redstone Indicator
rsgauges:indicator3blink1, Red LED Redstone Indicator
rsgauges:indicator_led_white, White LED Redstone Indicator
rsgauges:indicator_led_white_blink, White Blinking LED Redstone Indicator
rsgauges:bistableswitch_rustic1, Rustic Lever
rsgauges:bistableswitch_rustic2, Rustic Two-Hinge Lever
rsgauges:bistableswitch_rustic3, Rustic Rotary Lever
rsgauges:bistableswitch_rustic7, Rustic Nail Lever
rsgauges:pulseswitch_rustic1, Rustic Button
rsgauges:pulseswitch_rustic2, Rustic Small Button
rsgauges:pulseswitch_rustic3, Rustic Chain Button
rsgauges:pulseswitch_rustic7, Rustic Nail Button
rsgauges:contactmat_rustic1, Rustic Door Pressure Plate
rsgauges:contactmat_rustic2, Rustic Pressure Plate
rsgauges:contactmat_rustic3, Rustic Shock Sensitive Pressure Plate
rsgauges:trapdoorswitch_rustic1, Rustic Shock Activated Trapdoor
rsgauges:trapdoorswitch_rustic2, Rustic Sensitive Shock Activated Trapdoor
rsgauges:trapdoorswitch_rustic3, Rustic Fall-Through Detector Trapdoor
rsgauges:gauge_rustic2, Rustic Circular Wall Meter Redstone gauge
rsgauges:indicator_rustic_flag, Rustic Redstone Semaphore
rsgauges:bistableswitch_glass1, Bistable Glass Switch
rsgauges:bistableswitch_glass2, Bistable Glass Touch Switch
rsgauges:pulseswitch_glass1, Glass Button
rsgauges:pulseswitch_glass2, Small Glass Button
rsgauges:pulseswitch_glass3, Glass Touch Button
rsgauges:contactmat_glass1, Configurable Glass Contact Plate
rsgauges:contactmat_glass2, Glass Contact Plate
rsgauges:daytimeswitch_glass1, Glass Day Timer Clock
rsgauges:timerswitch_glass1, Glass Interval Signal Timer
rsgauges:detectorswitch_glass1, Glass Infrared Entity Detector
rsgauges:detectorswitch_glass2, Glass Linear Laser Entity Detector
rsgauges:industrial_comparator_switch, Industrial Comparator Switch
rsgauges:flatgauge4, Glass Bar Redstone Gauge
rsgauges:bistableswitch_oldfancy1, Old Fancy Lever
rsgauges:bistableswitch_oldfancy2, Old Fancy Rotary Lever
rsgauges:pulseswitch_oldfancy1, Old Fancy Button
rsgauges:pulseswitch_oldfancy2, Old Fancy Chain Button
rsgauges:pulseswitch_oldfancy4, Small Old Fancy Button
rsgauges:powerplant_yellow, Yellow power plant
rsgauges:powerplant_red, Red power plant
rsgauges:bistableswitch4, Small Light Switch
rsgauges:arrowtarget, Arrow Target
rsgauges:valve_wheel_switch, Valve Switch
rsgauges:elevator_button, Elevator Button
rsgauges:door_sensor_switch, Door sensor
rsgauges:sensitiveglass, Redstone-Sensitive Glass Block (Light Emitting)
rsgauges:sensitiveglass_white, Redstone-Sensitive Glass Block (White-Stained)
rsgauges:sensitiveglass_red, Redstone-Sensitive Glass Block (Red-Stained)
rsgauges:sensitiveglass_green, Redstone-Sensitive Glass Block (Green-Stained)
rsgauges:sensitiveglass_blue, Redstone-Sensitive Glass Block (Blue-Stained)
rsgauges:sensitiveglass_yellow, Redstone-Sensitive Glass Block (Yellow-Stained)
rsgauges:sensitiveglass_orange, Redstone-Sensitive Glass Block (Orange-Stained)
rsgauges:sensitiveglass_magenta, Redstone-Sensitive Glass Block (Magenta-Stained)
rsgauges:sensitiveglass_lightblue, Redstone-Sensitive Glass Block (Light-Blue-Stained)
rsgauges:sensitiveglass_lime, Redstone-Sensitive Glass Block (Lime-Stained)
rsgauges:sensitiveglass_pink, Redstone-Sensitive Glass Block (Pink-Stained)
rsgauges:sensitiveglass_gray, Redstone-Sensitive Glass Block (Gray-Stained)
rsgauges:sensitiveglass_lightgray, Redstone-Sensitive Glass Block (Light-Gray-Stained)
rsgauges:sensitiveglass_cyan, Redstone-Sensitive Glass Block (Cyan-Stained)
rsgauges:sensitiveglass_purple, Redstone-Sensitive Glass Block (Purple-Stained)
rsgauges:sensitiveglass_brown, Redstone-Sensitive Glass Block (Brown-Stained)
rsgauges:sensitiveglass_black, Redstone-Sensitive Glass Block (Black-Stained)
rsgauges:sensitiveglass_inverted, Redstone-Sensitive Glass Block (Inverted, Light Emitting)
rsgauges:pulseswitch_rustic4, Pulse switch
rsgauges:pulseswitch_rustic5, Pulse switch
rsgauges:pulseswitch_rustic6, Pulse switch
rsgauges:pulseswitch_oldfancy3, Pulse Switch
rsgauges:bistableswitch_oldfancy3, Bistable Switch
rsgauges:bistableswitch_oldfancy4, Bistable Switch
rsgauges:bistableswitch_oldfancy5, Bistable Switch
rsgauges:bistableswitch_oldfancy6, Bistable Switch
rsgauges:bistableswitch_oldfancy7, Bistable Switch
rsgauges:bistableswitch_rustic4, Bistable Switch
rsgauges:bistableswitch_rustic5, Bistable Switch
rsgauges:bistableswitch_rustic6, Bistable Switch
rsgauges:switchlink_pearl, Switch Link Pearl
simpleflax:seeds, Flax Seeds
simple_trophies:trophy, Trophy
simplylight:illuminant_block, Illuminant Block
simplylight:illuminant_block_on, Illuminant Block (Inverted)
simplylight:illuminant_slab, Illuminant Slab
simplylight:illuminant_panel, Illuminant Panel
simplylight:wall_lamp, Illuminant Fixture
simplylight:edge_light, Dynamic Edge Light (bottom)
simplylight:edge_light_top, Dynamic Edge Light (top)
simplylight:lightbulb, Simple Light Bulb
simplylight:rodlamp, Illuminant Rod
snad:snad:0, Snad
snad:snad:1, Red Snad
speedyhoppers:speedyhopper_mk1, Speedy Hopper I
speedyhoppers:speedyhopper_mk2, Speedy Hopper II
speedyhoppers:speedyhopper_mk3, Speedy Hopper III
stevescarts:blockcartassembler, Cart Assembler
stevescarts:blockcargomanager, Cargo Manager
stevescarts:blockliquidmanager, Liquid Manager
stevescarts:blockdistributor, External Distributor
stevescarts:blockactivator, Module Toggler
stevescarts:blockdetector:0, Detector Manager
stevescarts:blockdetector:1, Detector Unit
stevescarts:blockdetector:2, Detector Station
stevescarts:blockdetector:3, Detector Junction
stevescarts:blockdetector:4, Detector Redstone Unit
stevescarts:upgrade:0, Upgrade: Batteries
stevescarts:upgrade:1, Upgrade: Power Crystal
stevescarts:upgrade:2, Upgrade: Module knowledge
stevescarts:upgrade:3, Upgrade: Industrial espionage
stevescarts:upgrade:4, Upgrade: Experienced assembler
stevescarts:upgrade:5, Upgrade: New Era
stevescarts:upgrade:6, Upgrade: CO2 friendly
